
Date	US Dollar to South Korean Won Monthly Exchange Rates
Tuesday 27 September 2022	$1 USD = ₩1426.6237	US Dollar South Korean Won rate for 27/09/2022
Wednesday 28 September 2022	$1 USD = ₩1423.0842	US Dollar South Korean Won rate for 28/09/2022
Thursday 29 September 2022	$1 USD = ₩1430.3505	US Dollar South Korean Won rate for 29/09/2022
Friday 30 September 2022	$1 USD = ₩1443.1364	US Dollar South Korean Won rate for 30/09/2022
Worst exchange rate of September 2022: 1356.7873, Best exchange rate of September 2022: 1443.1364, Average exchange rate in September 2022: 1393.8518
October 2022
Date	US Dollar to South Korean Won Monthly Exchange Rates
Saturday 1 October 2022	$1 USD = ₩1440.23	US Dollar South Korean Won rate for 01/10/2022
Sunday 2 October 2022	$1 USD = ₩1441.9164	US Dollar South Korean Won rate for 02/10/2022
Monday 3 October 2022	$1 USD = ₩1433.0137	US Dollar South Korean Won rate for 03/10/2022
Tuesday 4 October 2022	$1 USD = ₩1416.2247	US Dollar South Korean Won rate for 04/10/2022
Wednesday 5 October 2022	$1 USD = ₩1416.1478	US Dollar South Korean Won rate for 05/10/2022
Thursday 6 October 2022	$1 USD = ₩1408.1212	US Dollar South Korean Won rate for 06/10/2022
Friday 7 October 2022	$1 USD = ₩1424.9482	US Dollar South Korean Won rate for 07/10/2022
Saturday 8 October 2022	$1 USD = ₩1424.8742	US Dollar South Korean Won rate for 08/10/2022
Sunday 9 October 2022	$1 USD = ₩1422.1184	US Dollar South Korean Won rate for 09/10/2022
Monday 10 October 2022	$1 USD = ₩1428.3062	US Dollar South Korean Won rate for 10/10/2022
Tuesday 11 October 2022	$1 USD = ₩1432.0472	US Dollar South Korean Won rate for 11/10/2022
Wednesday 12 October 2022	$1 USD = ₩1425.6002	US Dollar South Korean Won rate for 12/10/2022
Thursday 13 October 2022	$1 USD = ₩1431.0192	US Dollar South Korean Won rate for 13/10/2022
Friday 14 October 2022	$1 USD = ₩1441.7545	US Dollar South Korean Won rate for 14/10/2022
Saturday 15 October 2022	$1 USD = ₩1441.7545	US Dollar South Korean Won rate for 15/10/2022
Sunday 16 October 2022	$1 USD = ₩1440.622	US Dollar South Korean Won rate for 16/10/2022
Monday 17 October 2022	$1 USD = ₩1431.9139	US Dollar South Korean Won rate for 17/10/2022
Tuesday 18 October 2022	$1 USD = ₩1424.3252	US Dollar South Korean Won rate for 18/10/2022
Wednesday 19 October 2022	$1 USD = ₩1435.0313	US Dollar South Korean Won rate for 19/10/2022
Thursday 20 October 2022	$1 USD = ₩1430.2197	US Dollar South Korean Won rate for 20/10/2022
Friday 21 October 2022	$1 USD = ₩1429.1924	US Dollar South Korean Won rate for 21/10/2022
Saturday 22 October 2022	$1 USD = ₩1429.1924	US Dollar South Korean Won rate for 22/10/2022
Sunday 23 October 2022	$1 USD = ₩1430.0811	US Dollar South Korean Won rate for 23/10/2022
Monday 24 October 2022	$1 USD = ₩1443.3358	US Dollar South Korean Won rate for 24/10/2022
Tuesday 25 October 2022	$1 USD = ₩1427.8348	US Dollar South Korean Won rate for 25/10/2022
Wednesday 26 October 2022	$1 USD = ₩1413.1459	US Dollar South Korean Won rate for 26/10/2022
Thursday 27 October 2022	$1 USD = ₩1421.0762	US Dollar South Korean Won rate for 27/10/2022
Friday 28 October 2022	$1 USD = ₩1421.9391	US Dollar South Korean Won rate for 28/10/2022
Saturday 29 October 2022	$1 USD = ₩1422.0609	US Dollar South Korean Won rate for 29/10/2022
Sunday 30 October 2022	$1 USD = ₩1421.9814	US Dollar South Korean Won rate for 30/10/2022
Monday 31 October 2022	$1 USD = ₩1426.0187	US Dollar South Korean Won rate for 31/10/2022
Worst exchange rate of October 2022: 1408.1212, Best exchange rate of October 2022: 1443.3358, Average exchange rate in October 2022: 1428.2596
November 2022
Date	US Dollar to South Korean Won Monthly Exchange Rates
Tuesday 1 November 2022	$1 USD = ₩1416.5003	US Dollar South Korean Won rate for 01/11/2022
Wednesday 2 November 2022	$1 USD = ₩1423.9057	US Dollar South Korean Won rate for 02/11/2022
Thursday 3 November 2022	$1 USD = ₩1423.5377	US Dollar South Korean Won rate for 03/11/2022
Friday 4 November 2022	$1 USD = ₩1402.8417	US Dollar South Korean Won rate for 04/11/2022
Saturday 5 November 2022	$1 USD = ₩1404.1731	US Dollar South Korean Won rate for 05/11/2022
Sunday 6 November 2022	$1 USD = ₩1404.085	US Dollar South Korean Won rate for 06/11/2022
Monday 7 November 2022	$1 USD = ₩1393.5364	US Dollar South Korean Won rate for 07/11/2022
Tuesday 8 November 2022	$1 USD = ₩1373.9642	US Dollar South Korean Won rate for 08/11/2022
Wednesday 9 November 2022	$1 USD = ₩1370.8687	US Dollar South Korean Won rate for 09/11/2022
Thursday 10 November 2022	$1 USD = ₩1349.7223	US Dollar South Korean Won rate for 10/11/2022
Friday 11 November 2022	$1 USD = ₩1315.7556	US Dollar South Korean Won rate for 11/11/2022
Saturday 12 November 2022	$1 USD = ₩1314.1854	US Dollar South Korean Won rate for 12/11/2022
Sunday 13 November 2022	$1 USD = ₩1314.716	US Dollar South Korean Won rate for 13/11/2022
Monday 14 November 2022	$1 USD = ₩1324.4843	US Dollar South Korean Won rate for 14/11/2022
Tuesday 15 November 2022	$1 USD = ₩1315.6942	US Dollar South Korean Won rate for 15/11/2022
Wednesday 16 November 2022	$1 USD = ₩1336.86	US Dollar South Korean Won rate for 16/11/2022
Thursday 17 November 2022	$1 USD = ₩1343.2074	US Dollar South Korean Won rate for 17/11/2022
Friday 18 November 2022	$1 USD = ₩1340.0103	US Dollar South Korean Won rate for 18/11/2022
Saturday 19 November 2022	$1 USD = ₩1339.9737	US Dollar South Korean Won rate for 19/11/2022
Sunday 20 November 2022	$1 USD = ₩1340.4995	US Dollar South Korean Won rate for 20/11/2022
Monday 21 November 2022	$1 USD = ₩1359.5596	US Dollar South Korean Won rate for 21/11/2022
Tuesday 22 November 2022	$1 USD = ₩1352.8332	US Dollar South Korean Won rate for 22/11/2022
Wednesday 23 November 2022	$1 USD = ₩1337.0348	US Dollar South Korean Won rate for 23/11/2022
Thursday 24 November 2022	$1 USD = ₩1327.0587	US Dollar South Korean Won rate for 24/11/2022
Friday 25 November 2022	$1 USD = ₩1335.5595	US Dollar South Korean Won rate for 25/11/2022
Saturday 26 November 2022	$1 USD = ₩1335.5591	US Dollar South Korean Won rate for 26/11/2022
Sunday 27 November 2022	$1 USD = ₩1335.6825	US Dollar South Korean Won rate for 27/11/2022
Monday 28 November 2022	$1 USD = ₩1341.2127	US Dollar South Korean Won rate for 28/11/2022
Tuesday 29 November 2022	$1 USD = ₩1325.6434	US Dollar South Korean Won rate for 29/11/2022
Wednesday 30 November 2022	$1 USD = ₩1306.918	US Dollar South Korean Won rate for 30/11/2022
Worst exchange rate of November 2022: 1306.918, Best exchange rate of November 2022: 1423.9057, Average exchange rate in November 2022: 1353.5194
December 2022
Date	US Dollar to South Korean Won Monthly Exchange Rates
Thursday 1 December 2022	$1 USD = ₩1304.4348	US Dollar South Korean Won rate for 01/12/2022
Friday 2 December 2022	$1 USD = ₩1298.3754	US Dollar South Korean Won rate for 02/12/2022
Saturday 3 December 2022	$1 USD = ₩1299.3202	US Dollar South Korean Won rate for 03/12/2022
Sunday 4 December 2022	$1 USD = ₩1300.0333	US Dollar South Korean Won rate for 04/12/2022
Monday 5 December 2022	$1 USD = ₩1305.6229	US Dollar South Korean Won rate for 05/12/2022
Tuesday 6 December 2022	$1 USD = ₩1319.9686	US Dollar South Korean Won rate for 06/12/2022
Wednesday 7 December 2022	$1 USD = ₩1314.4738	US Dollar South Korean Won rate for 07/12/2022
Thursday 8 December 2022	$1 USD = ₩1317.1114	US Dollar South Korean Won rate for 08/12/2022
Friday 9 December 2022	$1 USD = ₩1304.8818	US Dollar South Korean Won rate for 09/12/2022
Saturday 10 December 2022	$1 USD = ₩1304.2168	US Dollar South Korean Won rate for 10/12/2022
Sunday 11 December 2022	$1 USD = ₩1304.6033	US Dollar South Korean Won rate for 11/12/2022
Monday 12 December 2022	$1 USD = ₩1306.9718	US Dollar South Korean Won rate for 12/12/2022
Tuesday 13 December 2022	$1 USD = ₩1289.5803	US Dollar South Korean Won rate for 13/12/2022
Wednesday 14 December 2022	$1 USD = ₩1295.9272	US Dollar South Korean Won rate for 14/12/2022
Thursday 15 December 2022	$1 USD = ₩1318.1926	US Dollar South Korean Won rate for 15/12/2022
Friday 16 December 2022	$1 USD = ₩1309.9597	US Dollar South Korean Won rate for 16/12/2022
Saturday 17 December 2022	$1 USD = ₩1309.9599	US Dollar South Korean Won rate for 17/12/2022
Sunday 18 December 2022	$1 USD = ₩1310.2268	US Dollar South Korean Won rate for 18/12/2022
Monday 19 December 2022	$1 USD = ₩1301.8388	US Dollar South Korean Won rate for 19/12/2022
Tuesday 20 December 2022	$1 USD = ₩1283.7748	US Dollar South Korean Won rate for 20/12/2022
Wednesday 21 December 2022	$1 USD = ₩1281.238	US Dollar South Korean Won rate for 21/12/2022
Thursday 22 December 2022	$1 USD = ₩1291.3605	US Dollar South Korean Won rate for 22/12/2022
Friday 23 December 2022	$1 USD = ₩1280.2301	US Dollar South Korean Won rate for 23/12/2022
Saturday 24 December 2022	$1 USD = ₩1280.2443	US Dollar South Korean Won rate for 24/12/2022
Sunday 25 December 2022	$1 USD = ₩1280.505	US Dollar South Korean Won rate for 25/12/2022
Monday 26 December 2022	$1 USD = ₩1275.7957	US Dollar South Korean Won rate for 26/12/2022
Tuesday 27 December 2022	$1 USD = ₩1272.5307	US Dollar South Korean Won rate for 27/12/2022
Wednesday 28 December 2022	$1 USD = ₩1274.5893	US Dollar South Korean Won rate for 28/12/2022
Thursday 29 December 2022	$1 USD = ₩1260.6083	US Dollar South Korean Won rate for 29/12/2022
Friday 30 December 2022	$1 USD = ₩1261.9272	US Dollar South Korean Won rate for 30/12/2022
Saturday 31 December 2022	$1 USD = ₩1261.9099	US Dollar South Korean Won rate for 31/12/2022
